#Phase-2 Materials Map           
#i cr sl tb dcc spigot fiber fibcha subdet ieta iphi depth  
1192 61 2 u 0 0 2 0 HE 1 26 0 
1192 61 2 u 0 0 2 1 HE 1 26 1 
1192 61 2 u 0 0 2 2 HE 1 26 2 
1192 61 2 u 0 0 2 3 HE 1 26 3 
1192 61 2 u 0 0 2 4 HE 1 26 4 
1192 61 2 u 0 0 2 5 HE 1 26 5 
1192 61 2 u 0 0 3 0 HE 1 27 0 
1192 61 2 u 0 0 3 1 HE 1 27 1 
1192 61 2 u 0 0 3 2 HE 1 27 2 
1192 61 2 u 0 0 3 3 HE 1 27 3 
1192 61 2 u 0 0 3 4 HE 1 27 4 
1192 61 2 u 0 0 3 5 HE 1 27 5 
1192 61 2 u 0 0 4 0 HE 1 28 0 
1192 61 2 u 0 0 4 1 HE 1 28 1 
1192 61 2 u 0 0 4 2 HE 1 28 2 
1192 61 2 u 0 0 4 3 HE 1 28 3 
1192 61 2 u 0 0 4 4 HE 1 28 4 
1192 61 2 u 0 0 4 5 HE 1 28 5 
1192 61 2 u 0 0 5 0 HE 1 29 0 
1192 61 2 u 0 0 5 1 HE 1 29 1 
1192 61 2 u 0 0 5 2 HE 1 29 2 
1192 61 2 u 0 0 5 3 HE 1 29 3 
1192 61 2 u 0 0 5 4 HE 1 29 4 
1192 61 2 u 0 0 5 5 HE 1 29 5 
1192 61 2 u 0 0 6 0 HE 1 30 0 
1192 61 2 u 0 0 6 1 HE 1 30 1 
1192 61 2 u 0 0 6 2 HE 1 30 2 
1192 61 2 u 0 0 6 3 HE 1 30 3 
1192 61 2 u 0 0 6 4 HE 1 30 4 
1192 61 2 u 0 0 6 5 HE 1 30 5 
1192 61 2 u 0 0 7 0 HE 1 31 0 
1192 61 2 u 0 0 7 1 HE 1 31 1 
1192 61 2 u 0 0 7 2 HE 1 31 2 
1192 61 2 u 0 0 7 3 HE 1 31 3 
1192 61 2 u 0 0 7 4 HE 1 31 4 
1192 61 2 u 0 0 7 5 HE 1 31 5 
1196 63 8 u 0 0 12 0 HE 1 32 0
1196 63 8 u 0 0 12 1 HE 1 32 1
1196 63 8 u 0 0 12 2 HE 1 32 2
1196 63 8 u 0 0 12 3 HE 1 32 3
1196 63 8 u 0 0 12 4 HE 1 32 4
1196 63 8 u 0 0 12 5 HE 1 32 5
1196 63 8 u 0 0 13 0 HE 1 33 0
1196 63 8 u 0 0 13 1 HE 1 33 1
1196 63 8 u 0 0 13 2 HE 1 33 2
1196 63 8 u 0 0 13 3 HE 1 33 3
1196 63 8 u 0 0 13 4 HE 1 33 4
1196 63 8 u 0 0 13 5 HE 1 33 5
#Phase-2 Materials Map 
#i cr sl tb dcc spigot fiber fibcha subdet ieta iphi depth 
1192 61 2 u 0 0 8 0 HE 2 0 0 
1192 61 2 u 0 0 8 1 HE 2 0 1 
1192 61 2 u 0 0 8 2 HE 2 0 2 
1192 61 2 u 0 0 8 3 HE 2 0 3 
1192 61 2 u 0 0 8 4 HE 2 0 4 
1192 61 2 u 0 0 8 5 HE 2 0 5 
1192 61 2 u 0 0 9 0 HE 2 1 0 
1192 61 2 u 0 0 9 1 HE 2 1 1 
1192 61 2 u 0 0 9 2 HE 2 1 2 
1192 61 2 u 0 0 9 3 HE 2 1 3 
1192 61 2 u 0 0 9 4 HE 2 1 4 
1192 61 2 u 0 0 9 5 HE 2 1 5 
1192 61 2 u 0 0 10 0 HE 2 2 0 
1192 61 2 u 0 0 10 1 HE 2 2 1 
1192 61 2 u 0 0 10 2 HE 2 2 2 
1192 61 2 u 0 0 10 3 HE 2 2 3 
1192 61 2 u 0 0 10 4 HE 2 2 4 
1192 61 2 u 0 0 10 5 HE 2 2 5 
1192 61 2 u 0 0 11 0 HE 2 3 0 
1192 61 2 u 0 0 11 1 HE 2 3 1 
1192 61 2 u 0 0 11 2 HE 2 3 2 
1192 61 2 u 0 0 11 3 HE 2 3 3 
1192 61 2 u 0 0 11 4 HE 2 3 4 
1192 61 2 u 0 0 11 5 HE 2 3 5 
1192 61 2 u 0 0 12 0 HE 2 4 0 
1192 61 2 u 0 0 12 1 HE 2 4 1 
1192 61 2 u 0 0 12 2 HE 2 4 2 
1192 61 2 u 0 0 12 3 HE 2 4 3 
1192 61 2 u 0 0 12 4 HE 2 4 4 
1192 61 2 u 0 0 12 5 HE 2 4 5 
1192 61 2 u 0 0 13 0 HE 2 5 0 
1192 61 2 u 0 0 13 1 HE 2 5 1 
1192 61 2 u 0 0 13 2 HE 2 5 2 
1192 61 2 u 0 0 13 3 HE 2 5 3 
1192 61 2 u 0 0 13 4 HE 2 5 4 
1192 61 2 u 0 0 13 5 HE 2 5 5 
1192 61 2 u 0 0 14 0 HE 2 6 0 
1192 61 2 u 0 0 14 1 HE 2 6 1 
1192 61 2 u 0 0 14 2 HE 2 6 2 
1192 61 2 u 0 0 14 3 HE 2 6 3 
1192 61 2 u 0 0 14 4 HE 2 6 4 
1192 61 2 u 0 0 14 5 HE 2 6 5 
1192 61 2 u 0 0 15 0 HE 2 7 0 
1192 61 2 u 0 0 15 1 HE 2 7 1 
1192 61 2 u 0 0 15 2 HE 2 7 2 
1192 61 2 u 0 0 15 3 HE 2 7 3 
1192 61 2 u 0 0 15 4 HE 2 7 4 
1192 61 2 u 0 0 15 5 HE 2 7 5 
1192 61 2 u 0 0 16 0 HE 2 8 0 
1192 61 2 u 0 0 16 1 HE 2 8 1 
1192 61 2 u 0 0 16 2 HE 2 8 2 
1192 61 2 u 0 0 16 3 HE 2 8 3 
1192 61 2 u 0 0 16 4 HE 2 8 4 
1192 61 2 u 0 0 16 5 HE 2 8 5 
1192 61 2 u 0 0 17 0 HE 2 9 0 
1192 61 2 u 0 0 17 1 HE 2 9 1 
